name,inCount,outCount
Willesden_Green,350,290
Southwark,68,160
London_Bridge_LU,59,13
Waterloo_LU,38,24
Finchley_Road,37,8
Swiss_Cottage,34,62
Unknown,19,32
Kings_Cross_LU,18,21
Walthamstow_Central,17,19
Kilburn_Park,17,14
Camden_Road,14,2
Blackfriars_NR,13,1
Wembley_Park,12,14
Piccadilly_Circus,11,7
Liverpool_Street_LU,11,2
Charing_Cross_LU,10,25
Baker_Street,10,5
Brondesbury,9,35
West_Hampstead_LU,7,6
London_Bridge_NR,7,6
Green_Park,7,3
Highbury_&_Islington,7,5
Holloway_Road,6,9
Oxford_Circus,6,4
Victoria_NR,5,1
Westminster,4,0
Kilburn,4,5
Embankment,4,2
Bond_Street,4,2
Richmond,4,3
Paddington_LU,3,4
Seven_Sisters,3,0
Pimlico,3,7
Archway,3,4
Vauxhall_LU,3,0
Sloane_Square,3,4
St_Pancras_International,3,1
Victoria_LU,2,7
Golders_Green,2,4
Kings_Cross_NR,2,0
Dagenham_East,2,2
Lambeth_North,2,3
Tottenham_Court_Road,2,5
Euston_LU,2,0
Euston_Square,2,2
Silver_Street,2,0
Finchley_Road_&_Frognal,2,0
Stratford,2,4
Camden_Town,2,1
Hackney_Central,1,1
Kensal_Rise,1,1
Brixton_LU,1,0
Turnham_Green,1,1
West_Brompton,1,1
North_Dulwich,1,0
Charing_Cross_NR,1,0
Regents_Park,1,1
Putney_Bridge,1,0
Heathrow_Terminals_123_LU,1,0
Paddington_NR,1,0
Euston_NR,1,0
Earls_Court,1,0
Elephant_&_Castle,1,0
Shepherds_Bush_Market,1,1
North_Greenwich,1,1
Finsbury_Park_LU,1,2
Mansion_House,1,0
Clapham_Junction,1,1
Angel,1,0
Turnpike_Lane,1,0
Gloucester_Road,1,0
Barbican,1,0
Warwick_Avenue,1,2
Notting_Hill_Gate,1,1
Kew_Gardens,0,1
Covent_Garden,0,3
Waterloo_NR,0,1
Marylebone_NR,0,1
Warren_Street,0,1
Kilburn_High_Road,0,2
Denmark_Hill,0,1
Edgware_Road_B,0,1
West_Hampstead_LO,0,3
Blackfriars_LU,0,2
Star_Lane_DLR,0,1
Heathrow_Terminal_4_LU,0,1
Shepherds_Bush_LU,0,1
Cricklewood,0,12
South_Kenton,0,1
Marylebone_LU,0,1
South_Kensington,0,3
Hoxton,0,1
Caledonian_Road,0,1
West_Hampstead_Thameslink,0,3
